actor,awards,major,media_info,metacritic,score,title,years
Daniel Dae Kim,No Awards,Major Role,Video Game                         - Action|Crime|Thriller                 -              29 August 2006(USA),No Metacritic,7.8,Saints Row,(2006)
Daniel Dae Kim,"Nominated for 2 Primetime Emmys.
Another 10 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 30 min                 - Animation|Action|Adventure,No Metacritic,8.6,Justice League,(2001–2006)
Daniel Dae Kim,"Won 1 Primetime Emmy.
Another 6 wins & 5 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 23 min                 - Animation|Action|Adventure,No Metacritic,9.2,Avatar: The Last Airbender,(2005–2008)
Daniel Dae Kim,"1 nomination.

See more awards »",Major Role,Video Game                         - Action|Adventure|Crime                 -              28 February 2006(USA),No Metacritic,8.1,24: The Game,(2006)
Daniel Dae Kim,No Awards,Major Role,97 min                 - Adventure|Horror|Thriller                 -              26 August 2005(USA),30/100,5.0,The Cave,(2005)
Daniel Dae Kim,"Won 3 Oscars.
Another 59 wins & 79 nominations.

See more awards »",Not Major Role,112 min                 - Drama                 -              6 May 2005(USA),69/100,7.9,Crash,(2004)
Daniel Dae Kim,"Won 1 Oscar.
Another 18 wins & 43 nominations.

See more awards »",Not Major Role,127 min                 - Action|Adventure                 -              30 June 2004(USA),83/100,7.4,Spider-Man 2,(2004)
Daniel Dae Kim,"Won 2 Golden Globes.
Another 13 wins & 45 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 47 min                 - Crime|Drama|Thriller,No Metacritic,8.8,The Shield,(2002–2008)
Daniel Dae Kim,"Won 2 Golden Globes.
Another 53 wins & 165 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 44 min                 - Action|Drama|Mystery,No Metacritic,8.5,24,(2001–2010)
Daniel Dae Kim,"Won 1 Golden Globe.
Another 133 wins & 314 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 44 min                 - Drama,No Metacritic,7.7,ER,(1994–2009)
